96	5.7	2.9	4.2	1.3	Iris-versicolor
131	7.9	3.8	6.4	2.0	Iris-virginica
39	5.1	3.4	1.5	0.2	Iris-setosa
47	4.6	3.2	1.4	0.2	Iris-setosa
125	7.2	3.2	6.0	1.8	Iris-virginica
85	6.0	3.4	4.5	1.6	Iris-versicolor
147	6.5	3.0	5.2	2.0	Iris-virginica
123	6.3	2.7	4.9	1.8	Iris-virginica
103	6.3	2.9	5.6	1.8	Iris-virginica
102	7.1	3.0	5.9	2.1	Iris-virginica
83	6.0	2.7	5.1	1.6	Iris-versicolor
124	6.7	3.3	5.7	2.1	Iris-virginica
144	6.7	3.3	5.7	2.5	Iris-virginica
56	6.3	3.3	4.7	1.6	Iris-versicolor
40	5.0	3.5	1.3	0.3	Iris-setosa
135	7.7	3.0	6.1	2.3	Iris-virginica
129	7.2	3.0	5.8	1.6	Iris-virginica
99	5.7	2.8	4.1	1.3	Iris-versicolor
51	6.4	3.2	4.5	1.5	Iris-versicolor
23	5.1	3.3	1.7	0.5	Iris-setosa
138	6.0	3.0	4.8	1.8	Iris-virginica
61	5.9	3.0	4.2	1.5	Iris-versicolor
76	6.8	2.8	4.8	1.4	Iris-versicolor
30	4.8	3.1	1.6	0.2	Iris-setosa
149	5.9	3.0	5.1	1.8	Iris-virginica
101	5.8	2.7	5.1	1.9	Iris-virginica
53	5.5	2.3	4.0	1.3	Iris-versicolor
21	5.1	3.7	1.5	0.4	Iris-setosa
72	6.3	2.5	4.9	1.5	Iris-versicolor
2	4.7	3.2	1.3	0.2	Iris-setosa
